week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,weekly_views
2023-11-12,tv (english),7,till murder do us part soering vs haysom,Till Murder Do Us Part: Soering vs. Haysom: Limited Series,9000000,2800000.0
2023-11-12,tv (english),8,life on our planet,Life on Our Planet: Season 1,18800000,2700000.0
2023-11-12,tv (english),9,bodies,Bodies: Limited Series,19600000,2600000.0
2023-11-12,tv (english),10,beckham,Beckham: Limited Series,8000000,1700000.0
2023-11-12,tv (non-english),1,the tailor,The Tailor: Season 3,22400000,4400000.0
2023-11-12,tv (non-english),2,the billionaire the butler and the boyfriend,"The Billionaire, The Butler, and the Boyfriend: Limited Series",9500000,3800000.0
2023-11-12,tv (non-english),3,ferry the series,Ferry: The Series: The Series,18700000,3100000.0
2023-11-12,tv (non-english),4,daily dose of sunshine,Daily Dose of Sunshine: Season 1,36400000,2800000.0
2023-11-12,tv (non-english),5,lupin,Lupin: Part 3,11100000,2000000.0
2023-11-12,tv (non-english),6,castaway diva,Castaway Diva: Limited Series,10700000,1900000.0
2023-11-12,tv (non-english),7,strong girl namsoon,Strong Girl Nam-soon: Limited Series,22900000,1900000.0
2023-11-12,tv (non-english),8,pact of silence,Pact of Silence: Season 1,22000000,1800000.0
2023-11-12,tv (non-english),9,attack on titan,Attack on Titan: The Final Season Part 3,4700000,1700000.0
2023-11-12,tv (non-english),10,cigarette girl,Cigarette Girl: Season 1,8600000,1600000.0
2023-11-05,films (english),1,locked in,,28800000,17800000.0
2023-11-05,films (english),2,pain hustlers,,31700000,15200000.0
2023-11-05,films (english),3,cold pursuit,,17300000,8800000.0
2023-11-05,films (english),4,spiderman across the spiderverse,,20100000,8600000.0
2023-11-05,films (english),5,old dads,,8700000,5000000.0
2023-11-05,films (english),6,nyad,,9500000,4700000.0
2023-11-05,films (english),7,sly,,7500000,4700000.0
2023-11-05,films (english),8,monster high the movie,,6900000,4700000.0
2023-11-05,films (english),9,minions,,6600000,4400000.0
2023-11-05,films (english),10,herself,,6700000,4100000.0
2023-11-05,films (non-english),1,wingwomen,,35700000,18500000.0
2023-11-05,films (non-english),2,burning betrayal,,10700000,6500000.0
2023-11-05,films (non-english),3,sister death,,9300000,6100000.0
2023-11-05,films (non-english),4,jawan extended cut,,14900000,5200000.0
2023-11-05,films (non-english),5,nowhere,,3600000,2000000.0
2023-11-05,films (non-english),6,forgotten love,,3900000,1700000.0
2023-11-05,films (non-english),7,a deadly invitation,,2200000,1400000.0
2023-11-05,films (non-english),8,hatching,,2000000,1300000.0
2023-11-05,films (non-english),9,the takedown,,2600000,1300000.0
2023-11-05,films (non-english),10,ballerina,,2000000,1300000.0
2023-11-05,tv (english),1,all the light we cannot see,All the Light We Cannot See: Limited Series,37600000,9800000.0
2023-11-05,tv (english),2,till murder do us part soering vs haysom,Till Murder Do Us Part: Soering vs. Haysom: Limited Series,15200000,4700000.0
2023-11-05,tv (english),3,bodies,Bodies: Limited Series,33200000,4300000.0
2023-11-05,tv (english),4,life on our planet,Life on Our Planet: Season 1,29500000,4300000.0
2023-11-05,tv (english),5,unicorn academy,Unicorn Academy: Chapter 1,15100000,3300000.0
2023-11-05,tv (english),6,get gotti,Get Gotti: Season 1,8000000,3200000.0
2023-11-05,tv (english),7,the fall of the house of usher,The Fall of the House of Usher: Limited Series,23400000,2800000.0
2023-11-05,tv (english),8,selling sunset,Selling Sunset: Season 7,18100000,2800000.0
2023-11-05,tv (english),9,beckham,Beckham: Limited Series,12600000,2700000.0
2023-11-05,tv (english),10,mysteries of the faith,Mysteries of the Faith: Season 1,6600000,2300000.0
2023-11-05,tv (non-english),1,lupin,Lupin: Part 3,18100000,3300000.0
2023-11-05,tv (non-english),2,pact of silence,Pact of Silence: Season 1,33200000,2800000.0
2023-11-05,tv (non-english),3,elite,Elite: Season 7,18000000,2600000.0
2023-11-05,tv (non-english),4,strong girl namsoon,Strong Girl Nam-soon: Limited Series,23100000,2300000.0
2023-11-05,tv (non-english),5,doona,Doona!: Season 1,14400000,2100000.0
2023-11-05,tv (non-english),6,the tailor,The Tailor: Season 3,10300000,2000000.0
2023-11-05,tv (non-english),7,onimusha,Onimusha: Season 1,6800000,1800000.0
2023-11-05,tv (non-english),8,ferry the series,Ferry: The Series: The Series,10100000,1700000.0
2023-11-05,tv (non-english),9,castaway diva,Castaway Diva: Limited Series,7700000,1600000.0
2023-11-05,tv (non-english),10,lupin,Lupin: Part 1,5900000,1500000.0
2023-10-29,films (english),1,old dads,,28200000,16300000.0
2023-10-29,films (english),2,pain hustlers,,29300000,14100000.0
2023-10-29,films (english),3,no hard feelings,,22700000,13100000.0
2023-10-29,films (english),4,cold pursuit,,13200000,6700000.0
2023-10-29,films (english),5,alvin and the chipmunks chipwrecked,,5700000,3900000.0
2023-10-29,films (english),6,monster high the movie,,5700000,3800000.0
2023-10-29,films (english),7,reptile,,7900000,3500000.0
2023-10-29,films (english),8,minions,,4500000,3000000.0
2023-10-29,films (english),9,hotel transylvania 2,,4200000,2800000.0
2023-10-29,films (english),10,alvin and the chipmunks the squeakquel,,3900000,2600000.0
2023-10-29,films (non-english),1,burning betrayal,,24300000,14700000.0
2023-10-29,films (non-english),2,sister death,,9400000,6200000.0
2023-10-29,films (non-english),3,the quake,,6200000,3600000.0
2023-10-29,films (non-english),4,dream girl 2,,6300000,3000000.0
2023-10-29,films (non-english),5,heaven in hell,,5800000,2900000.0
2023-10-29,films (non-english),6,the burning sea,,5000000,2800000.0
2023-10-29,films (non-english),7,nowhere,,4600000,2500000.0
2023-10-29,films (non-english),8,crypto boy,,3700000,2200000.0
2023-10-29,films (non-english),9,forgotten love,,4800000,2100000.0
2023-10-29,films (non-english),10,ballerina,,3100000,2000000.0
2023-10-29,tv (english),1,bodies,Bodies: Limited Series,58600000,7700000.0
2023-10-29,tv (english),2,get gotti,Get Gotti: Season 1,18400000,7300000.0
2023-10-29,tv (english),3,life on our planet,Life on Our Planet: Season 1,38300000,5500000.0
2023-10-29,tv (english),4,the fall of the house of usher,The Fall of the House of Usher: Limited Series,34500000,4200000.0
2023-10-29,tv (english),5,beckham,Beckham: Limited Series,18900000,4000000.0
2023-10-29,tv (english),6,big mouth,Big Mouth: Season 7,12500000,2700000.0
2023-10-29,tv (english),7,i woke up a vampire,I Woke Up A Vampire: Season 1,8400000,2400000.0
2023-10-29,tv (english),8,sex education,Sex Education: Season 4,13800000,1700000.0
2023-10-29,tv (english),9,surviving paradise,Surviving Paradise: Season 1,8900000,1300000.0
2023-10-29,tv (english),10,cocomelon,CoComelon: Season 8,1400000,1300000.0
2023-10-29,tv (non-english),1,elite,Elite: Season 7,37100000,5300000.0
2023-10-29,tv (non-english),2,lupin,Lupin: Part 3,25800000,4700000.0
2023-10-29,tv (non-english),3,doona,Doona!: Season 1,31800000,4500000.0
2023-10-29,tv (non-english),4,pact of silence,Pact of Silence: Season 1,45500000,3800000.0
2023-10-29,tv (non-english),5,strong girl namsoon,Strong Girl Nam-soon: Limited Series,21600000,2700000.0
2023-10-29,tv (non-english),6,lupin,Lupin: Part 1,8100000,2000000.0
2023-10-29,tv (non-english),7,lupin,Lupin: Part 2,7400000,2000000.0
2023-10-29,tv (non-english),8,creature,Creature: Limited Series,12100000,1900000.0
2023-10-29,tv (non-english),9,kaala paani,Kaala Paani: Season 1,11100000,1500000.0
2023-10-29,tv (non-english),10,learning and fun with jose comelon,,900000,1200000.0
2023-10-22,films (english),1,old dads,,23100000,13300000.0
2023-10-22,films (english),2,the devil on trial,,11000000,8000000.0
2023-10-22,films (english),3,gemini man,,14300000,7300000.0
2023-10-22,films (english),4,reptile,,15800000,7000000.0
2023-10-22,films (english),5,long shot,,8800000,4200000.0
2023-10-22,films (english),6,fair play,,7300000,3800000.0
2023-10-22,films (english),7,no hard feelings,,6600000,3800000.0
2023-10-22,films (english),8,tammy,,6000000,3800000.0
2023-10-22,films (english),9,spy kids,,5400000,3700000.0
2023-10-22,films (english),10,scary movie,,5400000,3700000.0
2023-10-22,films (non-english),1,the conference,,10900000,6500000.0
2023-10-22,films (non-english),2,nowhere,,9100000,5000000.0
2023-10-22,films (non-english),3,ballerina,,6600000,4200000.0
2023-10-22,films (non-english),4,the quake,,6400000,3700000.0
2023-10-22,films (non-english),5,forgotten love,,8300000,3600000.0
2023-10-22,films (non-english),6,ìjgbn,,5700000,2900000.0
2023-10-22,films (non-english),7,heaven in hell,,5200000,2600000.0
2023-10-22,films (non-english),8,dream girl 2,,4600000,2200000.0
2023-10-22,films (non-english),9,a deadly invitation,,2400000,1500000.0
2023-10-22,films (non-english),10,omg 2,,3500000,1400000.0
2023-10-22,tv (english),1,the fall of the house of usher,The Fall of the House of Usher: Limited Series,65300000,7900000.0
2023-10-22,tv (english),2,beckham,Beckham: Limited Series,32800000,6900000.0
2023-10-22,tv (english),3,bodies,Bodies: Limited Series,42000000,5500000.0
2023-10-22,tv (english),4,i woke up a vampire,I Woke Up A Vampire: Season 1,12100000,3400000.0
2023-10-22,tv (english),5,sex education,Sex Education: Season 4,21300000,2600000.0
2023-10-22,tv (english),6,love is blind,Love Is Blind: Season 5,20400000,1800000.0
2023-10-22,tv (english),7,big mouth,Big Mouth: Season 7,7400000,1600000.0
2023-10-22,tv (english),8,one piece,ONE PIECE: Season 1,10900000,1400000.0
2023-10-22,tv (english),9,cocomelon,CoComelon: Season 8,1400000,1300000.0
2023-10-22,tv (english),10,cocomelon,CoComelon: Season 1,3600000,1200000.0
2023-10-22,tv (non-english),1,lupin,Lupin: Part 3,42700000,7700000.0
2023-10-22,tv (non-english),2,pact of silence,Pact of Silence: Season 1,68800000,5700000.0
2023-10-22,tv (non-english),3,strong girl namsoon,Strong Girl Nam-soon: Limited Series,20700000,3600000.0
2023-10-22,tv (non-english),4,lupin,Lupin: Part 1,12900000,3200000.0
2023-10-22,tv (non-english),5,lupin,Lupin: Part 2,11500000,3000000.0
2023-10-22,tv (non-english),6,elite,Elite: Season 7,21100000,3000000.0
2023-10-22,tv (non-english),7,doona,Doona!: Season 1,19800000,2800000.0
2023-10-22,tv (non-english),8,stranded with my motherinlaw,Stranded with my Mother-in-Law: Season 1,11500000,1600000.0
2023-10-22,tv (non-english),9,kaala paani,Kaala Paani: Season 1,11700000,1600000.0
